manual_packet_review_rank,packet_rank,packet_fingerprint,bill_id,public_law_number,policy_area,client_name,registrant_name,activity_issue,packet_review_status,direction_signal_summary,rows_represented,source_row_fingerprints,queue_review_ranks,position_or_activity_text_signals,support_text_signals,opposition_text_signals,manual_review_source,manual_activity_disposition_status,manual_activity_disposition,manual_activity_disposition_basis,manual_target_status,manual_target_type,manual_target_text,manual_target_basis,manual_outcome_link_status,manual_reviewer_note,bill_reference_context_samples,evidence_layers,missing_links,source_urls,claim_boundary
41,48,602b27561aea3842,117-hr-6833,117-180,Economics and Public Finance,"EMD SERONO, INC.",THE D MAJOR GROUP,Pharmacy,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,f1f3592ae0f1052d,76,monitoring,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_monitoring_or_analysis_only,current_bill_monitoring_or_analysis_without_direction,activity_text_uses_monitor_or_analysis_language_for_current_bill_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms monitoring or analysis of current-bill text without support or opposition.,"Monitor FDA User Fee Reauthorization measures as included in HR 6833, the ""Continuing Appropriations & Ukraine Supplemental Appropriations Act.""",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/6833; https://lda.gov/api/v1/filings/baf14b24-c641-4886-adc7-938857669cbc/; https://lda.gov/filings/public/filing/baf14b24-c641-4886-adc7-938857669cbc/print/; https://www.congress.gov/bill/117th-congress/hr-bill/6833,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
42,49,837defd780616477,117-hr-6833,117-180,Economics and Public Finance,HEALTH CARE SUPPLY CHAIN ASSOCIATION,THE D MAJOR GROUP,Health Issues,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,0d1a04d564911b31,77,monitoring; related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_monitoring_or_analysis_only,current_bill_monitoring_or_analysis_without_direction,activity_text_uses_monitor_or_analysis_language_for_current_bill_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms monitoring or analysis of current-bill text without support or opposition.,"Work on drug shortage issues, including provisions related to the FDA User Fee Reauthorization measure as passed in HR 6833, the ""Continuing Appropriations & Ukraine Supplemental Appropriations Act."" Monitor drug pricing legislation included in HR 5376, the ""Inflation Reduction Act.""",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/6833; https://lda.gov/api/v1/filings/a10ce758-7d9d-4a5b-bc3e-7c134d0f8075/; https://lda.gov/filings/public/filing/a10ce758-7d9d-4a5b-bc3e-7c134d0f8075/print/; https://www.congress.gov/bill/117th-congress/hr-bill/6833,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
43,50,949b557726488e5c,117-hr-6833,117-180,Economics and Public Finance,T-MOBILE,OWEN EVANS INGOLS,Telecommunications,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,b9df1637c3ddeb30,78,issues_related_to; related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,...frastructure Investment and Jobs Law; HR 7783 - Extending America's Spectrum Auction Leadership Act; telecommunications issues related to the FY23 Continuing Resolution (HR 6833),official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/6833; https://lda.gov/api/v1/filings/989911cb-3070-429c-9fb0-032bb334bf0b/; https://lda.gov/filings/public/filing/989911cb-3070-429c-9fb0-032bb334bf0b/print/; https://www.congress.gov/bill/117th-congress/hr-bill/6833,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
44,51,0a177fbc57b3579d,117-hr-6833,117-180,Economics and Public Finance,VERTEX PHARMACEUTICALS INCORPORATED,VERTEX PHARMACEUTICALS INCORPORATED,Medical/Disease Research/Clinical Labs,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,f87141b355192217,79,issues_related_to; related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"Issues related to FDA regulatory drug review and approval in H.R. 6833, HR 7667 Food and Drug Amendments of 2022, S. 4348 - Food and Drug Administration Safety and Landmark Advancements Act of 2022; Issues related to platform technologies a...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/6833; https://lda.gov/api/v1/filings/75caa813-99e6-41a1-b8de-e2de71a6bc50/; https://lda.gov/filings/public/filing/75caa813-99e6-41a1-b8de-e2de71a6bc50/print/; https://www.congress.gov/bill/117th-congress/hr-bill/6833,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
45,52,c8cefe110476db6c,117-hr-7132,117-223,"Science, Technology, Communications",CTIA,EMPIRE CONSULTING GROUP,Telecommunications,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,d68d953c2bdd9c89,81,issues_related_to; related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"Issues related to infrastructure, spectrum policy, and combatting illegal robocall; HR 8152-the American Data & Privacy Act; the National Defense Authorization Act; HR 7132-the Safe Connections Act of 2022; and the United States Innovation & Competition Act; and issues",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/7132; https://lda.gov/api/v1/filings/38e2b629-2b79-404f-8767-29731b1f8e1e/; https://lda.gov/filings/public/filing/38e2b629-2b79-404f-8767-29731b1f8e1e/print/; https://www.congress.gov/bill/117th-congress/hr-bill/7132,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
46,53,e145a9c1eb08c947,117-hr-7776,117-263,Armed Forces and National Security,AECOM,AECOM,Clean Air and Water (quality),medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,85ad641ad336423e,82,issues_related_to; related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"...nfrastructure legislation of bipartisan Infrastructure legislation (Infrastructure Investment and Jobs Act - HR 3684). Funding and policy for water resource investments. H.R. 7776, the Water Resources Development Act of 2022 - issues related to the development of permitting documents. S. ___, the Water Resources Development Act of 2022 - issues re...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/7776; https://lda.gov/api/v1/filings/e50c94cb-e062-4cf4-b333-074e2452a40c/; https://lda.gov/filings/public/filing/e50c94cb-e062-4cf4-b333-074e2452a40c/print/; https://www.congress.gov/bill/117th-congress/hr-bill/7776,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
47,54,4f9fa80b5e011b24,117-hr-7776,117-263,Armed Forces and National Security,CITY OF SAN FRANCISCO (WATER AND POWER DIVISION),OWEN EVANS INGOLS,Utilities,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,75b3f45ed5401b27,83,issues_related_to; related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,...ergy and Water Development appropriations bills (HR 8255 and the Senate companion); issues related to implementation of the Infrastructure Investment and Jobs Act (Law); HR 7776 and S. 4136 - Water Resources Development Act of 2022,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/7776; https://lda.gov/api/v1/filings/be59006b-f47f-41e7-9f3e-d38c23f18c06/; https://lda.gov/filings/public/filing/be59006b-f47f-41e7-9f3e-d38c23f18c06/print/; https://www.congress.gov/bill/117th-congress/hr-bill/7776,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
48,56,89d390e9d48a4f70,117-hr-7776,117-263,Armed Forces and National Security,CONSORTIUM MANAGEMENT GROUP,OWEN EVANS INGOLS,Government Issues,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,0f3522ac37f29592,85,issues_related_to; related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,Issues associated with Other Transaction Authority (OTA) and government contracting; issues related to the Water Resources Development Act of FY 22 (HR 7776 and S. 4136) contracting issues related to the National Defense Authorization Act (HR 7900 and the Senate companion),official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/7776; https://lda.gov/api/v1/filings/453459f6-ad3d-42ec-9f84-6dcc1c5dd0cd/; https://lda.gov/filings/public/filing/453459f6-ad3d-42ec-9f84-6dcc1c5dd0cd/print/; https://www.congress.gov/bill/117th-congress/hr-bill/7776,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
49,57,252e3d93c047ad37,117-hr-7776,117-263,Armed Forces and National Security,OREGON STATE UNIVERSITY,OREGON STATE UNIVERSITY,Science/Technology,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,265e2ebc2d6eb127,86,related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"...STEM; gradate student and early career support; and research security. Fully funding the CHIPS Act, including funds for R&D. Water Resources and Development Act of 2022 (HR 7776): water resources research related to wildfire.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/7776; https://lda.gov/api/v1/filings/0072f0eb-ae20-4145-8820-3e57c956cbf6/; https://lda.gov/filings/public/filing/0072f0eb-ae20-4145-8820-3e57c956cbf6/print/; https://www.congress.gov/bill/117th-congress/hr-bill/7776,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
50,60,806867d9be261570,117-hr-8404,117-228,"Civil Rights and Liberties, Minority Issues",HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,Family issues/Abortion/Adoption,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,2,a297b3e846e29a66; b2153cbf9e428bb0,89; 91,all_provisions,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_all_provisions_without_direction,current_bill_all_provisions_without_direction,activity_text_lists_current_bill_all_provisions_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet lists all provisions of the current bill without a stated direction.,"...Health Protection Act of 2022,"" all provisions. HR 8297 ""Ensuring Access to Abortion Act of 2022,"" all provisions. HR 8373 ""Right to Contraception Act,"" all provisions. HR 8404 ""Respect for Marriage Act,"" all provisions. || HR 8404 ""Respect for Marriage Act,"" all provisions.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/8404; https://lda.gov/api/v1/filings/2d40bf5a-3337-41b2-bba2-d6776c389d00/; https://lda.gov/api/v1/filings/a884c46d-14fa-49bd-8e04-b02ce8ddf80d/; https://lda.gov/filings/public/filing/2d40bf5a-3337-41b2-bba2-d6776c389d00/print/; https://lda.gov/filings/public/filing/a884c46d-14fa-49bd-8e04-b02ce8ddf80d/print/; https://www.congress.gov/bill/117th-congress/hr-bill/8404,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
51,62,0dde474794a859b5,117-hr-8454,117-215,Crime and Law Enforcement,AMERICAN BUS ASSOCIATION,AMERICAN BUS ASSOCIATION,Transportation,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,2,9135041c0d1c9eca; adc5578c7836f6b8,93; 95,related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,...ng HR 2187 - Truck Parking; HR 5706 - Sexual Assault in Tranpsportation; HR 3110/S 1658 - PUMPING Act; HR 7348 - Drivers Incentive Act; HR 7517/S 4823 - OT for Truckers; HR 8454 - Cannibis Research; S. 4861 - ELDT exemptions); Federal motor carrier regulations and Department of Transportation regulations/laws; legislation/actions related to impl... || ...k Parking; HR 5706 - Sexual Assault in Tranpsportation; HR 3110/S 1658 - PUMP for Nursing Mothers Act; HR 7348 - Drivers Incentive Act; HR 7517/S 4823 - OT for Truckers; HR 8454 - Cannibis Research; S. 4861 - ELDT exemptions); Federal motor carrier regulations and Department of Transportation regulations/laws; legislation/actions related to impl...,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/8454; https://lda.gov/api/v1/filings/5dd7f899-9eda-4ce6-9773-43627e767bcd/; https://lda.gov/api/v1/filings/f424088e-f609-4b08-b542-7655273c92a7/; https://lda.gov/filings/public/filing/5dd7f899-9eda-4ce6-9773-43627e767bcd/print/; https://lda.gov/filings/public/filing/f424088e-f609-4b08-b542-7655273c92a7/print/; https://www.congress.gov/bill/117th-congress/hr-bill/8454,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
52,66,267ad879696be8f8,117-s-233,117-115,Government Operations and Politics,NCTA - THE INTERNET & TELEVISION ASSOCIATION,NCTA - THE INTERNET & TELEVISION ASSOCIATION,Telecommunications,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,6,185d6087798ba6d9; 45b6761b7704b641; a0f5b88d2e6cff07; ceb6cc173d1459ba; d5db67612eebe0b9; ffd9c9513a9afe61,99; 100; 101; 102; 103; 104,all_provisions; related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_all_provisions_without_direction,current_bill_all_provisions_without_direction,activity_text_lists_current_bill_all_provisions_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet lists all provisions of the current bill without a stated direction.,...Antitrust Law Enforcement Reform Act of 2021 - all provisions related to cable. -S 228 - Merger Filing Fee Modernization Act of 2021 - all provisions related to cable. -S 233 - Assisting Broadband Connectivity Act of 2021 - all provisions related to cable. -S 279 - National Broadband Plan for the Future Act of 2021 - all provisions related to...,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/s/233; https://lda.gov/api/v1/filings/145a51c5-d94b-41a2-900c-e6246374ed5c/; https://lda.gov/api/v1/filings/160dca08-437f-481a-b76e-504bc1dc4c8e/; https://lda.gov/api/v1/filings/55db1a73-d56e-4a92-acf0-23c5c1035723/; https://lda.gov/api/v1/filings/6238b838-16d3-462a-ac9a-709c24f42a44/; https://lda.gov/api/v1/filings/7063e151-5f84-45bb-8a44-554adda8a10a/; https://lda.gov/api/v1/filings/df260f1b-21ca-412a-9108-28fd18eb8e62/; https://lda.gov/filings/public/filing/145a51c5-d94b-41a2-900c-e6246374ed5c/print/; https://lda.gov/filings/public/filing/160dca08-437f-481a-b76e-504bc1dc4c8e/print/; https://lda.gov/filings/public/filing/55db1a73-d56e-4a92-acf0-23c5c1035723/print/; https://lda.gov/filings/public/filing/6238b838-16d3-462a-ac9a-709c24f42a44/print/; https://lda.gov/filings/public/filing/7063e151-5f84-45bb-8a44-554adda8a10a/print/; https://lda.gov/filings/public/filing/df260f1b-21ca-412a-9108-28fd18eb8e62/print/; https://www.congress.gov/bill/117th-congress/s-bill/233,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
53,68,6c09c285b261e939,117-s-2687,117-136,Armed Forces and National Security,AMERICAN FED OF GOVERNMENT EMPLOYEES AFL-CIO,"AMERICAN FED OF GOVERNMENT EMPLOYEES, AFL-CIO",Veterans,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,2,6e9d8eb13fa7ed3e; 9f21cfddd61d709b,113; 114,lobbied_for_or_on,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_opposition_from_activity_text,confirmed_opposition_to_current_bill_or_bill_provision,activity_text_says_lobbied_against_provisions_of_current_bill,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet upgrades a position/activity queue item to current-bill opposition because the activity text says lobbied against provisions of the current bill.,"...king at the Board of Veterans' Appeals. Lobbied for the creation of a Journeyman GS-15 Attorney position at the Board of Veterans' Appeals. Lobbied against provisions of S. 2687, the Strengthening Oversight for Veterans Act that would improperly authorize an agency IG to issue testimonial subpoenas to former employees and others without the safe...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/s/2687; https://lda.gov/api/v1/filings/024b8adf-5543-4566-b025-a5321f5cdaa7/; https://lda.gov/api/v1/filings/b56b3a23-af82-4a5f-bd8a-00d0d9e3f3e4/; https://lda.gov/filings/public/filing/024b8adf-5543-4566-b025-a5321f5cdaa7/print/; https://lda.gov/filings/public/filing/b56b3a23-af82-4a5f-bd8a-00d0d9e3f3e4/print/; https://www.congress.gov/bill/117th-congress/s-bill/2687,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
54,69,1b36e00d0956de53,117-s-3373,117-168,Armed Forces and National Security,AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES",Labor Issues/Antitrust/Workplace,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,f0c5e698b5cea334,115,issues_related_to; related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"...51, S 1175, HR 4350- 911 SAVES Act/NDAA HR 564- Comprehensive Paid Leave for Federal Employees Act HR 7309- Workforce Innovation Opportunities Act (WIOA) Reauthorization S 3373- PACT Act of 2022 HR 2193- Asuncion Valdivia Heat Illness and Fatality Prevention Act of 2021 Promoting apprenticeship for behavior health workers Issues related to the...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/s/3373; https://lda.gov/api/v1/filings/e8f0fa77-18ca-4e0e-bb06-cf7dbc10e81f/; https://lda.gov/filings/public/filing/e8f0fa77-18ca-4e0e-bb06-cf7dbc10e81f/print/; https://www.congress.gov/bill/117th-congress/s-bill/3373,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
